,Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,Months
0,0,-0.3053,13.4069,0.0956,9.235,10.184,11.133,12.201,13.407,14.773,16.326,18.1,19.874,0
1,30,0.2738,14.914,0.09035,10.116,11.253,12.391,13.61,14.914,16.306,17.791,19.371,20.951,1
2,61,0.1113,16.3231,0.08676,11.369,12.534,13.7,14.96,16.323,17.795,19.384,21.098,22.811,2
3,91,0.0077,16.895,0.08496,11.928,13.091,14.253,15.518,16.895,18.393,20.022,21.794,23.567,3
4,121,-0.0709,17.1533,0.08381,12.219,13.369,14.52,15.778,17.153,18.658,20.304,22.107,23.91,4
5,152,-0.1366,17.2914,0.08297,12.4,13.537,14.675,15.922,17.291,18.796,20.452,22.275,24.098,5
6,182,-0.1903,17.3419,0.08235,12.499,13.622,14.746,15.981,17.342,18.843,20.501,22.335,24.17,6
7,212,-0.2369,17.3302,0.08185,12.542,13.651,14.759,15.981,17.33,18.823,20.479,22.319,24.159,7
8,243,-0.2795,17.2661,0.08141,12.541,13.633,14.725,15.931,17.266,18.748,20.397,22.236,24.075,8
9,273,-0.3165,17.1696,0.08103,12.51,13.585,14.66,15.849,17.17,18.638,20.277,22.111,23.945,9
10,303,-0.3502,17.0543,0.08069,12.46,13.518,14.577,15.75,17.054,18.509,20.136,21.963,23.789,10
11,334,-0.382,16.9273,0.08038,12.398,13.44,14.482,15.639,16.927,18.367,19.982,21.8,23.618,11
12,364,-0.4104,16.8033,0.0801,12.335,13.362,14.388,15.53,16.803,18.229,19.832,21.64,23.449,12
13,395,-0.4376,16.6771,0.07983,12.269,13.28,14.292,15.419,16.677,18.089,19.679,21.478,23.277,13
14,425,-0.4621,16.5591,0.07959,12.205,13.203,14.201,15.314,16.559,17.958,19.536,21.326,23.116,14
15,455,-0.4852,16.4466,0.07936,12.143,13.129,14.115,15.214,16.447,17.833,19.4,21.181,22.962,15
16,486,-0.5075,16.3369,0.07914,12.082,13.056,14.03,15.117,16.337,17.711,19.268,21.04,22.812,16
17,516,-0.5279,16.2375,0.07893,12.028,12.99,13.953,15.029,16.238,17.601,19.147,20.911,22.675,17
18,546,-0.5472,16.1447,0.07874,11.976,12.929,13.881,14.947,16.145,17.498,19.035,20.791,22.548,18
19,577,-0.5662,16.0564,0.07855,11.927,12.87,13.813,14.869,16.056,17.4,18.928,20.677,22.427,19
20,607,-0.5836,15.9786,0.07837,11.885,12.819,13.753,14.8,15.979,17.313,18.833,20.576,22.319,20
21,637,-0.6002,15.9087,0.0782,11.847,12.774,13.7,14.738,15.909,17.235,18.748,20.486,22.223,21
22,668,-0.6166,15.8444,0.07803,11.814,12.732,13.651,14.682,15.844,17.164,18.67,20.402,22.134,22
23,698,-0.6318,15.7888,0.07787,11.786,12.697,13.609,14.633,15.789,17.101,18.602,20.329,22.057,23
24,728,-0.6464,15.7388,0.07772,11.761,12.666,13.572,14.589,15.739,17.045,18.54,20.264,21.988,24
25,759,-0.5863,15.9825,0.07791,11.909,12.839,13.769,14.81,15.982,17.309,18.82,20.55,22.281,25
26,789,-0.5523,15.9443,0.07799,11.862,12.795,13.729,14.772,15.944,17.267,18.769,20.484,22.198,26
27,819,-0.5196,15.9071,0.07808,11.815,12.752,13.689,14.735,15.907,17.227,18.721,20.42,22.12,27
28,850,-0.4873,15.8694,0.07818,11.769,12.709,13.65,14.697,15.869,17.186,18.672,20.358,22.043,28
29,880,-0.4578,15.8338,0.07828,11.724,12.668,13.612,14.662,15.834,17.148,18.627,20.299,21.972,29
30,910,-0.4301,15.7989,0.0784,11.681,12.628,13.575,14.626,15.799,17.111,18.584,20.245,21.906,30
31,941,-0.4037,15.7635,0.07853,11.637,12.587,13.537,14.591,15.764,17.073,18.54,20.191,21.842,31
32,971,-0.3804,15.73,0.07866,11.595,12.548,13.501,14.557,15.73,17.038,18.5,20.142,21.784,32
33,1001,-0.3594,15.6971,0.0788,11.555,12.511,13.466,14.524,15.697,17.003,18.462,20.096,21.73,33
34,1032,-0.3404,15.664,0.07896,11.515,12.473,13.431,14.49,15.664,16.969,18.425,20.052,21.68,34
35,1062,-0.3247,15.6328,0.07912,11.478,12.437,13.397,14.458,15.633,16.937,18.39,20.013,21.636,35
36,1093,-0.3112,15.6015,0.07929,11.441,12.402,13.364,14.426,15.602,16.906,18.357,19.975,21.594,36
37,1123,-0.3009,15.5723,0.07948,11.406,12.369,13.333,14.396,15.572,16.877,18.327,19.944,21.561,37
38,1153,-0.2934,15.5443,0.07967,11.374,12.338,13.303,14.367,15.544,16.849,18.3,19.915,21.531,38
39,1184,-0.2887,15.5167,0.07988,11.342,12.307,13.273,14.338,15.517,16.823,18.274,19.891,21.507,39
40,1214,-0.2869,15.4914,0.0801,11.313,12.279,13.245,14.312,15.491,16.799,18.252,19.871,21.49,40
41,1244,-0.2878,15.4675,0.08033,11.286,12.253,13.219,14.287,15.468,16.777,18.233,19.856,21.479,41
42,1275,-0.2914,15.4445,0.08058,11.26,12.227,13.194,14.262,15.444,16.757,18.216,19.845,21.473,42
43,1305,-0.2972,15.4236,0.08084,11.236,12.203,13.171,14.239,15.424,16.739,18.203,19.838,21.473,43
44,1335,-0.3054,15.404,0.08111,11.215,12.181,13.148,14.218,15.404,16.723,18.192,19.835,21.479,44
45,1366,-0.316,15.3849,0.0814,11.193,12.16,13.127,14.197,15.385,16.707,18.184,19.836,21.489,45
46,1396,-0.3284,15.3675,0.0817,11.174,12.14,13.106,14.177,15.368,16.694,18.178,19.842,21.505,46
47,1426,-0.3429,15.351,0.08201,11.156,12.121,13.087,14.158,15.351,16.683,18.174,19.85,21.526,47
48,1457,-0.3598,15.3346,0.08234,11.139,12.103,13.067,14.139,15.335,16.671,18.172,19.862,21.552,48
49,1487,-0.3782,15.3196,0.08267,11.123,12.086,13.05,14.122,15.32,16.662,18.172,19.877,21.582,49
50,1517,-0.3984,15.3052,0.08302,11.108,12.07,13.032,14.105,15.305,16.653,18.174,19.895,21.617,50
51,1548,-0.4212,15.291,0.08338,11.094,12.055,13.015,14.088,15.291,16.646,18.177,19.917,21.657,51
52,1578,-0.4449,15.2779,0.08375,11.081,12.04,12.999,14.072,15.278,16.639,18.183,19.942,21.702,52
53,1608,-0.4702,15.2654,0.08412,11.07,12.027,12.983,14.057,15.265,16.633,18.19,19.97,21.75,53
54,1639,-0.4977,15.2532,0.08451,11.059,12.013,12.968,14.041,15.253,16.629,18.199,20.001,21.804,54
55,1669,-0.5255,15.2419,0.0849,11.049,12.001,12.954,14.027,15.242,16.625,18.209,20.035,21.861,55
56,1699,-0.5544,15.2311,0.08529,11.039,11.99,12.94,14.013,15.231,16.622,18.22,20.071,21.922,56
57,1730,-0.5855,15.2204,0.0857,11.031,11.979,12.927,13.999,15.22,16.619,18.233,20.111,21.989,57
58,1760,-0.6166,15.2108,0.0861,11.024,11.969,12.914,13.987,15.211,16.618,18.248,20.153,22.058,58
59,1791,-0.6499,15.2014,0.08652,11.017,11.96,12.902,13.974,15.201,16.617,18.264,20.2,22.135,59
60,1821,-0.6833,15.193,0.08693,11.011,11.951,12.891,13.963,15.193,16.617,18.282,20.248,22.214,60
61,1851,-0.7176,15.1853,0.08733,11.007,11.944,12.881,13.952,15.185,16.618,18.301,20.298,22.296,61
